VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,NumberofPlayers,PopularityRating
The Legend of Zelda: Breath of the Wild,0,0,0,1,0,0,0,No kingdom. No memories. After a 100-year slumber Link wakes up alone in a world he no longer remembers. Now the legendary hero must explore a vast and dangerous land and regain his memories before Hyrule is lost forever.,https://youtu.be/zw47_q9wbBE,Everyone10+,Adventure/RPG,1,Overwhelmingly Positive
The Legend of Zelda: Skyward Sword,0,0,0,1,0,0,0,Bound by destiny yet separated by mysterious forces childhood friends Link and Zelda become tangled in a legendary conflict spanning the surface and sky.,https://youtu.be/r7qozxgX4c8,Everyone10+,Adventure/RPG,1,Very Positive
Survival Z,0,0,0,0,0,0,1,Blend of zombies tower defense play is a generic adventure.,https://youtu.be/h1ACHdouYdQ,Everyone,Horror,1,Very Positive
Cozy Grove,1,1,1,1,1,0,1,COZY GROVE is a life simulation game that takes place on a haunted island. But instead of trying to run away from the ghosts that inhabit it you're there to help them all with various missions.,https://youtu.be/35nCCbXBhw8,Everyone10+,Cozy,1,Very Positive
Ghosts 'n Goblins Resurrection,1,0,1,1,1,0,0,Players fight against a slew of supernatural creatures using a variety of medieval weapons combined with magical abilities. Violence is constant,https://youtu.be/3OU5QKtNXuw,Everyone10+,Shooter,1,Very Positive
CarX Drift Racing Online,1,1,1,1,1,0,0,CarX Drift Racing Online is your chance to immerse yourself in the real world of drifting. Get together with friends tune your car and burn some tires!,https://youtu.be/jcIwFzNuC1Y,Everyone,Racing,1,Overwhelmingly Positive
Skul: The Hero Slayer,1,1,1,1,1,1,1,Guide 'Skul' on his quest to single-handedly take on the Imperial Army and rescue his King from captivity in an action-packed rogue-lite 2D platformer for the ages.,https://youtu.be/jqk8JL76fXI,Everyone,Adventure/RPG,1,Very Positive
Balatro,1,1,1,1,1,0,0,The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands discover game-changing jokers and trigger adrenaline-pumping outrageous combos.,https://youtu.be/VUyP21iQ_-g,Everyone,Puzzle/word/card,1,Overwhelmingly Positive
Lies of P,1,1,1,0,1,0,0,Lies of P is a thrilling soulslike that takes the story of Pinocchio turns it on its head and sets it against the darkly elegant backdrop of the Belle Epoque era.,https://youtu.be/TYr1x25Z1Ak,Mature17+,Adventure/RPG,1,Very Positive
Hearts of Iron IV,1,1,0,0,0,0,0,Victory is at your fingertips! Your ability to lead your nation is your supreme weapon the strategy game Hearts of Iron IV lets you take command of any nation in World War II,https://youtu.be/e9BiUtINy4w,Everyone10+,Puzzle/word/card,1,Very Positive
Project Zomboid,1,1,0,0,0,0,0,Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot build craft fight farm and fish in a struggle to survive.,https://youtu.be/nPbsDmzZ3Oc,Teen13+,Adventure/RPG,1,Very Positive
Call of Duty: Black Ops III,1,1,1,1,1,0,0,Call of Duty: Black Ops III combines three unique game modes: Campaign Multiplayer and Zombies providing fans with the deepest and most ambitious Call of Duty ever.,https://youtu.be/qAUYNIDEJ6o,Mature17+,Shooter,5+,Very Positive
Fortnite,1,1,1,1,1,1,1,Fortnite is an online video game and game platform developed by Epic Games and released in 2017. It is available in six distinct game mode versions that otherwise share the same general gameplay,https://youtu.be/AfpMiVkhI5Q,Teen13+,Shooter,3 to 4,Overwhelmingly Positive
Counter-Strike 2,1,0,0,0,0,0,0,A free upgrade to CS:GO Counter-Strike 2 marks the largest technical leap in Counter-Strike’s history.,https://youtu.be/c80dVYcL69E,Mature17+,Shooter,5+,Very Positive
Rust,1,1,1,0,1,0,0,The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants the environment other survivors.,https://youtu.be/LGcECozNXEw,Mature17+,Shooter,1,Very Positive
Tom Clancy's Rainbow Six Siege,1,0,1,0,1,0,0,Tom Clancy's Rainbow Six® Siege is an elite tactical team-based shooter where superior planning and execution triumph.,https://youtu.be/-TKfvTHRM6E,Mature17+,Shooter,5+,Very Positive
Animal Crossing: New Horizons,0,0,0,1,0,0,0,In New Horizons the player controls a character who moves to a deserted island after purchasing a getaway package from Tom Nook accomplishes assigned tasks and develops the island as they choose,https://www.youtube.com/watch?v=_3YNL0OWio0,Everyone,Cozy,1,Overwhelmingly Positive
Fae Farm,0,0,0,1,0,0,0,Fae Farm places you in the sprawling land of Azoria where you can harvest crops catch critters reel in fish raise animals defeat monsters show off fashionable looks craft items and decorate to your heart's content not to mention befriend villagers and even date and marry one.,https://www.youtube.com/watch?v=npEtJClDmmA,Everyone,Cozy,1,Positive
Mario Kart 8 Delux,0,0,0,1,0,0,0,Players control their beloved Mario franchise characters in kart racing collecting various items to hinder opponents or gain advantages in each race,https://www.youtube.com/watch?v=tKlRN2YpxRE,Everyone,Racing,3 to 4,Overwhelmingly Positive
Bayonetta 2,0,0,0,1,0,0,0,a witch who shapeshifts and uses various firearms along with magical attacks she performs with her hair by summoning demons to dispatch her foes.,https://www.youtube.com/watch?v=-nzBjXXcn7o,Mature17+,Fighting,1,Overwhelmingly Positive
Mario Tennis Aces,0,0,0,1,0,0,0,Mario must advance through a number of missions and stop a powerful tennis racket Lucien from destroying the Kingdom of Bask the game's setting.,https://www.youtube.com/watch?v=jxrHwK-e1vk,Everyone,Sports,3 to 4,Overwhelmingly Positive
Super Mario Party,0,0,0,1,0,0,0,Four players take turns to navigate around a linear board dictated by how much they have rolled through the Dice Block.,https://www.youtube.com/watch?v=7pu9t5AL1Ss,Everyone,Party,3 to 4,Overwhelmingly Positive
Super Smash Bros Ultimate,0,0,0,1,0,0,0,Super Smash Bros. Ultimate is a platform fighter for up to eight players in which characters from Nintendo games and third-party franchises fight to knock each other out of an arena.,https://www.youtube.com/watch?v=WShCN-AYHqA,Everyone10+,Fighting,5+,Overwhelmingly Positive
Katamari Damacy REROLL,1,0,1,1,1,0,0,your father the creator of the universe has destroyed all the stars in the sky. In order to get them back you need to roll up larger Katamari's,https://www.youtube.com/watch?v=JHsFcSNFUMc,Everyone,Cozy,1,Positive
Devil May Cry,1,0,1,0,1,0,0,DmC: Devil May Cry is an action-adventure hack and slash video game. Players take on the role of Dante as he uses his powers and weaponry to fight against enemies and navigate the treacherous Limbo.,https://www.youtube.com/watch?v=-cWH5Sobjeg,Mature17+,Adventure/RPG,1,Very Positive
Dr Kawashima's Brain Training,0,0,0,1,0,0,0,Dr Kawashima's Brain Training for Nintendo Switch builds upon the previous installments by adding puzzles and mini-games to strengthen the player's memory and concentration skills.,https://www.youtube.com/watch?v=l5QusYYL9fs,Everyone,Puzzle/word/card,1,Mixed
Spyro Reignited Trilogy,0,0,1,0,0,0,0,Spyro the Dragon is a 3D platform game; the player controls the titular character as he ventures across the realms of the Dragon World to defeat the antagonistic Gnasty Gnorc as well as rescue his fellow dragons and recover all of their stolen treasure.,https://www.youtube.com/watch?v=orzNU1R4wb8,Everyone,Adventure/RPG,1,Overwhelmingly Positive
Crash Bandacoot,0,0,1,0,0,0,0,The player controls Crash a genetically enhanced bandicoot created by the mad scientist Doctor Neo Cortex. The story follows Crash as he aims to foil Cortex's plans for world domination and rescue his girlfriend Tawna a female bandicoot also created by Cortex.,https://www.youtube.com/watch?v=F7G91RjVmvk,Everyone,Adventure/RPG,1,Overwhelmingly Positive
Ace Angler: Fishing Spirits,0,0,0,1,0,1,1,This story-based attraction involves clearing short missions in the quest to create sustainable oceans. Learn all about the seas and fish that appear,https://youtu.be/QtZqW_fU9T4,Teen13+,Sports,1,Very Positive
Fitness Boxing 2: Rhythm & Exercise,0,0,0,1,0,0,0,Fitness Boxing 2: Rhythm & Exercise is a way to get in a guided workout track your activity and listen to some popular upbeat jams.,https://youtu.be/wyc2Y-LGWjQ,Everyone,Sports,1,Overwhelmingly Positive
Mario Golf: Super Rush,0,0,0,1,0,0,0,Hit the green with up to four players locally or online and golf with friends from the Super Mario series like Mario Peach Yoshi and more!,https://youtu.be/5R-EuaUbPvc,Everyone,Sports,3 to 4,Positive
Coffee Talk,1,0,1,1,1,0,0,Coffee Talk is a coffee brewing and heart-to-heart talking simulator about listening to fantasy-inspired modern peoples’ problems and helping them by serving up a warm drink or two.,Coffee Talk - Announcement Trailer (youtube.com),Mature17+,Cozy,1,Overwhelmingly Positive
Dying Light,1,0,1,1,1,0,0,First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies craft weapons and face hordes of the infected.,https://www.youtube.com/watch?v=CWX6DbAMTR4,Mature17+,Horror,3 to 4,Overwhelmingly Positive
Apex Legends,1,0,1,1,1,0,0,"Apex Legends is an online multiplayer battle royale game featuring squads of three players using pre-made characters with distinctive abilities called ""Legends"" similar to those of hero shooters",https://www.youtube.com/watch?v=M82iTOsGoF8,Teen13+,Shooter,3 to 4,Mostly Positive
Overwatch 2,1,0,1,1,1,0,0,Overwatch 2 is a critically acclaimed team-based shooter game set in an optimistic future with an evolving roster of heroes. Team up with friends and jump in today.,Overwatch 2 Launch Trailer (youtube.com),Teen13+,Shooter,5+,Mixed
PUBG: Battlegrounds,1,0,1,0,1,1,1,Parachute into a treacherous battleground with only your wits for protection as you loot gear and outsmart your enemies in a fierce battle royale,https://www.youtube.com/watch?v=JVBTAM7B57Q,Teen13+,Shooter,3 to 4,Mixed
Hellblade: Senua's Sacrafice,1,0,1,0,1,0,0,Hellblade: Senua's Sacrifice tells of a warrior's brutal journey into myth and madness. Set in the Viking age a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.,https://www.youtube.com/watch?v=fBJ0ifVtK5c,Mature17+,Horror,1,Very Positive
